taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4582556	Pirania Walcott, 1920	4582556	Pirania Walcott, 1920	2	GENUS	ACCEPTED	Animalia	1	Porifera	105					Piraniidae	4582555	Pirania	4582556			
4942363	Phillipsastrea disrupta McLean, 1994	4942363	Phillipsastrea disrupta McLean, 1994	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206			Phillipsastraeidae	3250448	Phillipsastrea	4881378	Phillipsastrea disrupta	4942363	
8514161	Composita subquadrata (Hall, 1858)	4867779	Athyris subquadrata Yang & Xu, 1966	1	SPECIES	SYNONYM	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Athyrididae	3252335	Athyris	4577238	Athyris subquadrata	4867779	
9260712	Margaretia dorus Walcott, 1931	9260712	Margaretia dorus Walcott, 1931	14	SPECIES	ACCEPTED	Animalia	1	Hemichordata	75	Enteropneusta	277					Margaretia	7916927	Margaretia dorus	9260712	
3234536	Zizyphoides Seward & Conway, 1935	3234536	Zizyphoides Seward & Conway, 1935	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rhamnaceae	2407	Zizyphoides	3234536			
8551788	Ulospongiella ancyla Rigby & Collins, 2004	8551788	Ulospongiella ancyla Rigby & Collins, 2004	2	SPECIES	ACCEPTED	Animalia	1	Porifera	105					Ulospongiellidae	8596764	Ulospongiella	8518209	Ulospongiella ancyla	8551788	
8742786	Eoorthis vicina (Walcott, 1924)	8742786	Eoorthis vicina (Walcott, 1924)	1	SPECIES	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Eoorthidae	4870431	Apheoorthis	4870356	Eoorthis vicina	8742786	
4281602	Amiskwia sagittiformis Walcott, 1911	4281602	Amiskwia sagittiformis Walcott, 1911	1	SPECIES	ACCEPTED	Animalia	1	Chaetognatha	55					Amiskwiidae	4281600	Amiskwia	4281601	Amiskwia sagittiformis	4281602	
4634727	Acheilops Ulrich, 1931	4634727	Acheilops Ulrich, 1931	3	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Trilobita	9273948	Ptychopariida	9583276	Catillicephalidae	3267086	Acheilops	4634727			
4636603	Zacanthopsis Resser, 1938	4636603	Zacanthopsis Resser, 1938	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Corynexochida	9556384	Zacanthoididae	3266662	Zacanthopsis	4636603			
8519257	Cuspilongus cachecreekensis Archibald & Rasnitsyn, 2015	8519257	Cuspilongus cachecreekensis Archibald & Rasnitsyn, 2015	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Cephidae	4337	Cuspilongus	8550716	Cuspilongus cachecreekensis	8519257	
9275507	Laudonia bispinata Harrington, 1956	9275507	Laudonia bispinata Harrington, 1956	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Redlichiida	9590575	Olenellidae	4636103	Laudonia	8064512	Laudonia bispinata	9275507	
3189631	Gordonia Ellis	3189631	Gordonia Ellis	4	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Theaceae	3189597	Gordonia	3189631			
3246208	Scenella Billings, 1872	3246208	Scenella Billings, 1872	4	GENUS	ACCEPTED	Animalia	1	Mollusca	52					Scenellidae	4583974	Scenella	3246208			
4591214	Onestia McLearn, 1933	4591214	Onestia McLearn, 1933	2	GENUS	DOUBTFUL	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756			Onestia	4591214			
